result_id,module,analysis_population,stratum_variable,stratum_value,metric,category,numerator,denominator,unknown_count,percentage,value,unit,notes,source_table,framework
GER0024,GERIATRIC_DOMAINS,ALL_INCLUDED,DOMAIN_ID,care_setting_caregiver,DOMAIN_CODE,REQUIRES_EXPERT_DECISION,157,1218,157,12.889984,,,,T05_GERIATRIC_DOMAIN_CODES.csv,
GER0025,GERIATRIC_DOMAINS,ALL_INCLUDED,DOMAIN_ID,polypharmacy_medication_burden,DOMAIN_CODE,NOT_PUBLICLY_SPECIFIED,1200,1218,17,98.522167,,,,T05_GERIATRIC_DOMAIN_CODES.csv,
GER0026,GERIATRIC_DOMAINS,ALL_INCLUDED,DOMAIN_ID,polypharmacy_medication_burden,DOMAIN_CODE,PRESENT,1,1218,17,0.082102,,,,T05_GERIATRIC_DOMAIN_CODES.csv,
GER0027,GERIATRIC_DOMAINS,ALL_INCLUDED,DOMAIN_ID,polypharmacy_medication_burden,DOMAIN_CODE,REQUIRES_EXPERT_DECISION,17,1218,17,1.395731,,,,T05_GERIATRIC_DOMAIN_CODES.csv,
GER0028,GERIATRIC_COMPOSITE,ALL_INCLUDED,COMPOSITE,PRIMARY_EIGHT_DOMAIN_ANY_PRESENT,COMPOSITE_STATUS,YES,575,1218,319,47.208539,,,,T06_GERIATRIC_COMPOSITES.csv,
GER0029,GERIATRIC_COMPOSITE,ALL_INCLUDED,COMPOSITE,PRIMARY_EIGHT_DOMAIN_ANY_PRESENT,COMPOSITE_STATUS,NO,324,1218,319,26.600985,,,,T06_GERIATRIC_COMPOSITES.csv,
GER0030,GERIATRIC_COMPOSITE,ALL_INCLUDED,COMPOSITE,PRIMARY_EIGHT_DOMAIN_ANY_PRESENT,COMPOSITE_STATUS,UNKNOWN,319,1218,319,26.190476,,,,T06_GERIATRIC_COMPOSITES.csv,
GER0031,GERIATRIC_COMPOSITE,ALL_INCLUDED,COMPOSITE,ALL_NINE_DOMAIN_ANY_PRESENT,COMPOSITE_STATUS,YES,575,1218,322,47.208539,,,,T06_GERIATRIC_COMPOSITES.csv,
GER0032,GERIATRIC_COMPOSITE,ALL_INCLUDED,COMPOSITE,ALL_NINE_DOMAIN_ANY_PRESENT,COMPOSITE_STATUS,NO,321,1218,322,26.35468,,,,T06_GERIATRIC_COMPOSITES.csv,
GER0033,GERIATRIC_COMPOSITE,ALL_INCLUDED,COMPOSITE,ALL_NINE_DOMAIN_ANY_PRESENT,COMPOSITE_STATUS,UNKNOWN,322,1218,322,26.436782,,,,T06_GERIATRIC_COMPOSITES.csv,
GER0034,GERIATRIC_COMPOSITE,ALL_INCLUDED,COMPOSITE,PROXY_CONSENT_PATHWAY_PRESENT,COMPOSITE_STATUS,YES,29,1218,140,2.380952,,,,T06_GERIATRIC_COMPOSITES.csv,
GER0035,GERIATRIC_COMPOSITE,ALL_INCLUDED,COMPOSITE,PROXY_CONSENT_PATHWAY_PRESENT,COMPOSITE_STATUS,NO,1049,1218,140,86.124795,,,,T06_GERIATRIC_COMPOSITES.csv,
GER0036,GERIATRIC_COMPOSITE,ALL_INCLUDED,COMPOSITE,PROXY_CONSENT_PATHWAY_PRESENT,COMPOSITE_STATUS,UNKNOWN,140,1218,140,11.494253,,,,T06_GERIATRIC_COMPOSITES.csv,
OUT0001,OUTCOME_COVERAGE,COREVEN_APPLICABLE,COVERAGE_WINDOW,PRIMARY_ONLY,DOMAIN_PRESENT,healing,86,304,19,28.289474,,,,T07_COREVEN_COVERAGE.csv,COREVEN
OUT0002,OUTCOME_COVERAGE,COREVEN_APPLICABLE,COVERAGE_WINDOW,PRIMARY_ONLY,DOMAIN_PRESENT,pain,31,304,20,10.197368,,,,T07_COREVEN_COVERAGE.csv,COREVEN
OUT0003,OUTCOME_COVERAGE,COREVEN_APPLICABLE,COVERAGE_WINDOW,PRIMARY_ONLY,DOMAIN_PRESENT,quality_of_life,5,304,21,1.644737,,,,T07_COREVEN_COVERAGE.csv,COREVEN
