Audit_ID,Object,Source,Numerator,Denominator,Unknown_Count,Percentage,Status,Rule
DEN_CHR00004,CHR00004,T11_TRIAL_CHARACTERISTICS.csv,809,1218,2,66.420361,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_CHR00005,CHR00005,T11_TRIAL_CHARACTERISTICS.csv,74,1218,0,6.075534,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_CHR00006,CHR00006,T11_TRIAL_CHARACTERISTICS.csv,374,1218,0,30.706076,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_CHR00007,CHR00007,T11_TRIAL_CHARACTERISTICS.csv,770,1218,0,63.218391,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_CHR00008,CHR00008,T11_TRIAL_CHARACTERISTICS.csv,623,1218,0,51.149425,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_CHR00009,CHR00009,T11_TRIAL_CHARACTERISTICS.csv,595,1218,0,48.850575,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_CHR00010,CHR00010,T11_TRIAL_CHARACTERISTICS.csv,96,1218,102,7.881773,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_CHR00011,CHR00011,T11_TRIAL_CHARACTERISTICS.csv,1020,1218,102,83.743842,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_CHR00012,CHR00012,T11_TRIAL_CHARACTERISTICS.csv,102,1218,102,8.374384,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_CHR00013,CHR00013,T11_TRIAL_CHARACTERISTICS.csv,630,1218,102,51.724138,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_CHR00014,CHR00014,T11_TRIAL_CHARACTERISTICS.csv,102,1218,102,8.374384,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_CHR00015,CHR00015,T11_TRIAL_CHARACTERISTICS.csv,486,1218,102,39.901478,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
