NCT_ID,Measure_Title,Category,Participant_Count,Selected_Group_ID,Unit,JSON_Pointer
NCT02904200,"Age, Categorical",>=65 years,0.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT02921750,"Age, Categorical",<=18 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT02921750,"Age, Categorical",Between 18 and 65 years,88.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT02921750,"Age, Categorical",>=65 years,157.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT02929056,"Age, Categorical",<=18 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT02929056,"Age, Categorical",Between 18 and 65 years,1.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT02929056,"Age, Categorical",>=65 years,1.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT02946021,"Age, Categorical",<=18 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT02946021,"Age, Categorical",Between 18 and 65 years,4.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT02946021,"Age, Categorical",>=65 years,7.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT02963649,End-stage renal disease,NOT_PUBLICLY_SPECIFIED,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/9/classes/0/categories/0
NCT03011099,"Age, Categorical",<=18 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT03011099,"Age, Categorical",Between 18 and 65 years,8.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT03011099,"Age, Categorical",>=65 years,1.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT03020446,"Age, Categorical",<=18 years,0.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT03020446,"Age, Categorical",Between 18 and 65 years,2.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT03020446,"Age, Categorical",>=65 years,1.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT03077165,"Age, Categorical",<=18 years,0.0,BG006,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT03077165,"Age, Categorical",Between 18 and 65 years,57.0,BG006,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT03077165,"Age, Categorical",>=65 years,64.0,BG006,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT03121144,"Age, Categorical",<=18 years,0.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT03121144,"Age, Categorical",Between 18 and 65 years,26.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT03121144,"Age, Categorical",>=65 years,8.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT03267212,"Age, Categorical",<=18 years,0.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT03267212,"Age, Categorical",Between 18 and 65 years,14.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT03267212,"Age, Categorical",>=65 years,1.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT03283787,"Age, Categorical",<=18 years,0.0,BG003,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT03283787,"Age, Categorical",Between 18 and 65 years,25.0,BG003,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT03283787,"Age, Categorical",>=65 years,35.0,BG003,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT03298113,"Age, Categorical",<=18 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT03298113,"Age, Categorical",Between 18 and 65 years,2.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT03298113,"Age, Categorical",>=65 years,18.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT03317288,"Age, Categorical",<=18 years,0.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT03317288,"Age, Categorical",Between 18 and 65 years,15.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT03317288,"Age, Categorical",>=65 years,0.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT03345576,"Age, Categorical",<=18 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT03345576,"Age, Categorical",Between 18 and 65 years,12.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT03345576,"Age, Categorical",>=65 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT03390504,"Age, Categorical",<=18 years,0.0,BG004,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT03390504,"Age, Categorical",Between 18 and 65 years,245.0,BG004,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT03390504,"Age, Categorical",>=65 years,384.0,BG004,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT03408639,"Age, Categorical",<=18 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT03408639,"Age, Categorical",Between 18 and 65 years,129.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT03408639,"Age, Categorical",>=65 years,27.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT03412929,"Age, Categorical",<=18 years,0.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT03412929,"Age, Categorical",Between 18 and 65 years,4.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT03412929,"Age, Categorical",>=65 years,1.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT03495986,"Age, Categorical",<=18 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT03495986,"Age, Categorical",Between 18 and 65 years,26.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT03495986,"Age, Categorical",>=65 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT03522714,"Age, Categorical",<=18 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT03522714,"Age, Categorical",Between 18 and 65 years,80.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT03522714,"Age, Categorical",>=65 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT03621592,"Age, Categorical",<=18 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT03621592,"Age, Categorical",Between 18 and 65 years,22.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT03621592,"Age, Categorical",>=65 years,9.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT03662997,"Age, Categorical",<=18 years,0.0,BG004,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT03662997,"Age, Categorical",Between 18 and 65 years,26.0,BG004,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT03662997,"Age, Categorical",>=65 years,12.0,BG004,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT03892746,"Age, Categorical",<=18 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT03892746,"Age, Categorical",Between 18 and 65 years,35.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT03892746,"Age, Categorical",>=65 years,6.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT03922802,"Age, Categorical",<=18 years,0.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT03922802,"Age, Categorical",Between 18 and 65 years,9.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT03922802,"Age, Categorical",>=65 years,1.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT03999515,"Age, Categorical",<=18 years,0.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT03999515,"Age, Categorical",Between 18 and 65 years,1.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT03999515,"Age, Categorical",>=65 years,2.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT04018924,"Age, Customized",< 49 years,7.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT04018924,"Age, Customized",50 < years < 59,12.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT04018924,"Age, Customized",60 < years < 69,16.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT04018924,"Age, Customized",70 < years < 79,28.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/3
NCT04018924,"Age, Customized",80 < years <89,26.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/4
NCT04018924,"Age, Customized",> 90 years,1.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/5
NCT04046120,"Age, Categorical",<=18 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT04046120,"Age, Categorical",Between 18 and 65 years,17.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
