Metric_ID,Module,Population,Present_N,Full_Denominator,Evaluable_Denominator,Indeterminate_N,Confirmed_Full_Percent,Confirmed_Evaluable_Percent,Lower_Bound_Percent,Upper_Bound_Percent,Indeterminate_Percent,Publication_Display_State,Framework,Coverage_Window,Registration_Timing,Domain
COREVEN_ANY_REGISTERED_RETROSPECTIVE_resource_use,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,RETROSPECTIVE,12,139,121,18,8.633094,9.917355,8.633094,21.582734,12.94964,INDETERMINATE_AFTER_REVIEW,COREVEN,ANY_REGISTERED,RETROSPECTIVE,resource_use
COREVEN_ANY_REGISTERED_RETROSPECTIVE_adverse_events,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,RETROSPECTIVE,44,139,125,14,31.654676,35.2,31.654676,41.726619,10.071942,INDETERMINATE_AFTER_REVIEW,COREVEN,ANY_REGISTERED,RETROSPECTIVE,adverse_events
COREVEN_ANY_REGISTERED_RETROSPECTIVE_ALL_DOMAINS_PRESENT,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,RETROSPECTIVE,0,139,117,22,0.0,0.0,0.0,15.827338,15.827338,INDETERMINATE_AFTER_REVIEW,COREVEN,ANY_REGISTERED,RETROSPECTIVE,ALL_DOMAINS_PRESENT
COREVEN_ANY_REGISTERED_UNKNOWN_healing,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,UNKNOWN,0,0,0,0,NA,NA,NA,NA,NA,INDETERMINATE_AFTER_REVIEW,COREVEN,ANY_REGISTERED,UNKNOWN,healing
COREVEN_ANY_REGISTERED_UNKNOWN_pain,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,UNKNOWN,0,0,0,0,NA,NA,NA,NA,NA,INDETERMINATE_AFTER_REVIEW,COREVEN,ANY_REGISTERED,UNKNOWN,pain
COREVEN_ANY_REGISTERED_UNKNOWN_quality_of_life,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,UNKNOWN,0,0,0,0,NA,NA,NA,NA,NA,INDETERMINATE_AFTER_REVIEW,COREVEN,ANY_REGISTERED,UNKNOWN,quality_of_life
COREVEN_ANY_REGISTERED_UNKNOWN_resource_use,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,UNKNOWN,0,0,0,0,NA,NA,NA,NA,NA,INDETERMINATE_AFTER_REVIEW,COREVEN,ANY_REGISTERED,UNKNOWN,resource_use
COREVEN_ANY_REGISTERED_UNKNOWN_adverse_events,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,UNKNOWN,0,0,0,0,NA,NA,NA,NA,NA,INDETERMINATE_AFTER_REVIEW,COREVEN,ANY_REGISTERED,UNKNOWN,adverse_events
COREVEN_ANY_REGISTERED_UNKNOWN_ALL_DOMAINS_PRESENT,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,UNKNOWN,0,0,0,0,NA,NA,NA,NA,NA,INDETERMINATE_AFTER_REVIEW,COREVEN,ANY_REGISTERED,UNKNOWN,ALL_DOMAINS_PRESENT
OUTPUTS_PRIMARY_REGISTERED_ALL_pressure_injury_occurrence,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,ALL,37,184,162,22,20.108696,22.839506,20.108696,32.065217,11.956522,INDETERMINATE_AFTER_REVIEW,OUTPUTS,PRIMARY_REGISTERED,ALL,pressure_injury_occurrence
OUTPUTS_PRIMARY_REGISTERED_ALL_precursor_signs_symptoms,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,ALL,3,184,162,22,1.630435,1.851852,1.630435,13.586957,11.956522,INDETERMINATE_AFTER_REVIEW,OUTPUTS,PRIMARY_REGISTERED,ALL,precursor_signs_symptoms
OUTPUTS_PRIMARY_REGISTERED_ALL_mobility,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,ALL,16,184,162,22,8.695652,9.876543,8.695652,20.652174,11.956522,INDETERMINATE_AFTER_REVIEW,OUTPUTS,PRIMARY_REGISTERED,ALL,mobility
OUTPUTS_PRIMARY_REGISTERED_ALL_acceptability_comfort,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,ALL,7,184,162,22,3.804348,4.320988,3.804348,15.76087,11.956522,INDETERMINATE_AFTER_REVIEW,OUTPUTS,PRIMARY_REGISTERED,ALL,acceptability_comfort
OUTPUTS_PRIMARY_REGISTERED_ALL_adherence_compliance,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,ALL,1,184,162,22,0.543478,0.617284,0.543478,12.5,11.956522,INDETERMINATE_AFTER_REVIEW,OUTPUTS,PRIMARY_REGISTERED,ALL,adherence_compliance
OUTPUTS_PRIMARY_REGISTERED_ALL_adverse_events_safety,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,ALL,9,184,162,22,4.891304,5.555556,4.891304,16.847826,11.956522,INDETERMINATE_AFTER_REVIEW,OUTPUTS,PRIMARY_REGISTERED,ALL,adverse_events_safety
OUTPUTS_PRIMARY_REGISTERED_ALL_ALL_DOMAINS_PRESENT,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,ALL,0,184,162,22,0.0,0.0,0.0,11.956522,11.956522,INDETERMINATE_AFTER_REVIEW,OUTPUTS,PRIMARY_REGISTERED,ALL,ALL_DOMAINS_PRESENT
OUTPUTS_PRIMARY_REGISTERED_PROSPECTIVE_OR_SAME_DAY_pressure_injury_occurrence,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,PROSPECTIVE_OR_SAME_DAY,16,104,91,13,15.384615,17.582418,15.384615,27.884615,12.5,INDETERMINATE_AFTER_REVIEW,OUTPUTS,PRIMARY_REGISTERED,PROSPECTIVE_OR_SAME_DAY,pressure_injury_occurrence
OUTPUTS_PRIMARY_REGISTERED_PROSPECTIVE_OR_SAME_DAY_precursor_signs_symptoms,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,PROSPECTIVE_OR_SAME_DAY,2,104,91,13,1.923077,2.197802,1.923077,14.423077,12.5,INDETERMINATE_AFTER_REVIEW,OUTPUTS,PRIMARY_REGISTERED,PROSPECTIVE_OR_SAME_DAY,precursor_signs_symptoms
