Metric_ID,Module,Population,Present_N,Full_Denominator,Evaluable_Denominator,Indeterminate_N,Confirmed_Full_Percent,Confirmed_Evaluable_Percent,Lower_Bound_Percent,Upper_Bound_Percent,Indeterminate_Percent,Publication_Display_State,Framework,Final_COS_Electronic_Publication_Date,Temporal_Scenario,Coverage_Window,Domain
OUTPUTS_PRE_FINAL_COS_ANY_REGISTERED_precursor_signs_symptoms,COS_TEMPORAL_ALIGNMENT,PRE_FINAL_COS,5,120,105,15,4.166667,4.761905,4.166667,16.666667,12.5,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,PRE_FINAL_COS,ANY_REGISTERED,precursor_signs_symptoms
OUTPUTS_PRE_FINAL_COS_ANY_REGISTERED_mobility,COS_TEMPORAL_ALIGNMENT,PRE_FINAL_COS,19,120,106,14,15.833333,17.924528,15.833333,27.5,11.666667,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,PRE_FINAL_COS,ANY_REGISTERED,mobility
OUTPUTS_PRE_FINAL_COS_ANY_REGISTERED_acceptability_comfort,COS_TEMPORAL_ALIGNMENT,PRE_FINAL_COS,15,120,107,13,12.5,14.018692,12.5,23.333333,10.833333,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,PRE_FINAL_COS,ANY_REGISTERED,acceptability_comfort
OUTPUTS_PRE_FINAL_COS_ANY_REGISTERED_adherence_compliance,COS_TEMPORAL_ALIGNMENT,PRE_FINAL_COS,5,120,105,15,4.166667,4.761905,4.166667,16.666667,12.5,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,PRE_FINAL_COS,ANY_REGISTERED,adherence_compliance
OUTPUTS_PRE_FINAL_COS_ANY_REGISTERED_adverse_events_safety,COS_TEMPORAL_ALIGNMENT,PRE_FINAL_COS,12,120,108,12,10.0,11.111111,10.0,20.0,10.0,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,PRE_FINAL_COS,ANY_REGISTERED,adverse_events_safety
OUTPUTS_PRE_FINAL_COS_ANY_REGISTERED_ALL_DOMAINS_PRESENT,COS_TEMPORAL_ALIGNMENT,PRE_FINAL_COS,0,120,105,15,0.0,0.0,0.0,12.5,12.5,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,PRE_FINAL_COS,ANY_REGISTERED,ALL_DOMAINS_PRESENT
OUTPUTS_POST_FINAL_COS_0_MONTH_ANY_REGISTERED_pressure_injury_occurrence,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_0_MONTH,19,64,49,15,29.6875,38.77551,29.6875,53.125,23.4375,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,POST_FINAL_COS_0_MONTH,ANY_REGISTERED,pressure_injury_occurrence
OUTPUTS_POST_FINAL_COS_0_MONTH_ANY_REGISTERED_precursor_signs_symptoms,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_0_MONTH,0,64,47,17,0.0,0.0,0.0,26.5625,26.5625,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,POST_FINAL_COS_0_MONTH,ANY_REGISTERED,precursor_signs_symptoms
OUTPUTS_POST_FINAL_COS_0_MONTH_ANY_REGISTERED_mobility,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_0_MONTH,13,64,51,13,20.3125,25.490196,20.3125,40.625,20.3125,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,POST_FINAL_COS_0_MONTH,ANY_REGISTERED,mobility
OUTPUTS_POST_FINAL_COS_0_MONTH_ANY_REGISTERED_acceptability_comfort,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_0_MONTH,11,64,51,13,17.1875,21.568627,17.1875,37.5,20.3125,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,POST_FINAL_COS_0_MONTH,ANY_REGISTERED,acceptability_comfort
