Register_ID,Artifact_Type,Source_File,Source_Row_Number,Row_Key,Field,Value,Numerator_Context,Denominator_Context,Percent_Context,Source_SHA256,Interpretation_Boundary
NRR000031,SENSITIVITY,outputs/step_13_corrected_1218_r3c/data/STEP13B_SENSITIVITY_RESULTS.csv,9,Sensitivity_ID=AGE_UNKNOWN_YES_STRUCTURED_85|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_YES|Metric=ELIGIBLE_85_STRUCTURED,Unknown_Count,42,888,1218,72.906404,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,UNKNOWN_UNCLEAR_NOT_PUBLICLY_SPECIFIED_NOT_APPLICABLE_REMAIN_DISTINCT
NRR000032,SENSITIVITY,outputs/step_13_corrected_1218_r3c/data/STEP13B_SENSITIVITY_RESULTS.csv,9,Sensitivity_ID=AGE_UNKNOWN_YES_STRUCTURED_85|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_YES|Metric=ELIGIBLE_85_STRUCTURED,Percent,72.906404,888,1218,72.906404,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,FINITE_POPULATION_DESCRIPTIVE_NO_CAUSAL_OR_INFERENTIAL_CLAIM
NRR000033,SENSITIVITY,outputs/step_13_corrected_1218_r3c/data/STEP13B_SENSITIVITY_RESULTS.csv,10,Sensitivity_ID=AGE_UNKNOWN_NO_RECONCILED_65|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_NO|Metric=ELIGIBLE_65_RECONCILED,Numerator,1083,1083,1218,88.916256,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,FINITE_POPULATION_DESCRIPTIVE_NO_CAUSAL_OR_INFERENTIAL_CLAIM
NRR000034,SENSITIVITY,outputs/step_13_corrected_1218_r3c/data/STEP13B_SENSITIVITY_RESULTS.csv,10,Sensitivity_ID=AGE_UNKNOWN_NO_RECONCILED_65|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_NO|Metric=ELIGIBLE_65_RECONCILED,Denominator,1218,1083,1218,88.916256,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,FINITE_POPULATION_DESCRIPTIVE_NO_CAUSAL_OR_INFERENTIAL_CLAIM
NRR000035,SENSITIVITY,outputs/step_13_corrected_1218_r3c/data/STEP13B_SENSITIVITY_RESULTS.csv,10,Sensitivity_ID=AGE_UNKNOWN_NO_RECONCILED_65|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_NO|Metric=ELIGIBLE_65_RECONCILED,Unknown_Count,38,1083,1218,88.916256,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,UNKNOWN_UNCLEAR_NOT_PUBLICLY_SPECIFIED_NOT_APPLICABLE_REMAIN_DISTINCT
NRR000036,SENSITIVITY,outputs/step_13_corrected_1218_r3c/data/STEP13B_SENSITIVITY_RESULTS.csv,10,Sensitivity_ID=AGE_UNKNOWN_NO_RECONCILED_65|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_NO|Metric=ELIGIBLE_65_RECONCILED,Percent,88.916256,1083,1218,88.916256,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,FINITE_POPULATION_DESCRIPTIVE_NO_CAUSAL_OR_INFERENTIAL_CLAIM
NRR000037,SENSITIVITY,outputs/step_13_corrected_1218_r3c/data/STEP13B_SENSITIVITY_RESULTS.csv,11,Sensitivity_ID=AGE_UNKNOWN_YES_RECONCILED_65|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_YES|Metric=ELIGIBLE_65_RECONCILED,Numerator,1121,1121,1218,92.036125,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,FINITE_POPULATION_DESCRIPTIVE_NO_CAUSAL_OR_INFERENTIAL_CLAIM
NRR000038,SENSITIVITY,outputs/step_13_corrected_1218_r3c/data/STEP13B_SENSITIVITY_RESULTS.csv,11,Sensitivity_ID=AGE_UNKNOWN_YES_RECONCILED_65|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_YES|Metric=ELIGIBLE_65_RECONCILED,Denominator,1218,1121,1218,92.036125,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,FINITE_POPULATION_DESCRIPTIVE_NO_CAUSAL_OR_INFERENTIAL_CLAIM
NRR000039,SENSITIVITY,outputs/step_13_corrected_1218_r3c/data/STEP13B_SENSITIVITY_RESULTS.csv,11,Sensitivity_ID=AGE_UNKNOWN_YES_RECONCILED_65|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_YES|Metric=ELIGIBLE_65_RECONCILED,Unknown_Count,38,1121,1218,92.036125,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,UNKNOWN_UNCLEAR_NOT_PUBLICLY_SPECIFIED_NOT_APPLICABLE_REMAIN_DISTINCT
NRR000040,SENSITIVITY,outputs/step_13_corrected_1218_r3c/data/STEP13B_SENSITIVITY_RESULTS.csv,11,Sensitivity_ID=AGE_UNKNOWN_YES_RECONCILED_65|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_YES|Metric=ELIGIBLE_65_RECONCILED,Percent,92.036125,1121,1218,92.036125,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,FINITE_POPULATION_DESCRIPTIVE_NO_CAUSAL_OR_INFERENTIAL_CLAIM
